index,int8,hex,mV
0,106,6a,1.617481
1,97,61,1.480148
2,-98,9e,-1.495407
3,-78,b2,-1.190222
4,99,63,1.510666
5,93,5d,1.419111
6,93,5d,1.419111
7,-89,a7,-1.358074
8,-69,bb,-1.052889
9,95,5f,1.449629
10,82,52,1.251259
11,90,5a,1.373333
12,-79,b1,-1.205481
13,-60,c4,-0.915555
14,89,59,1.358074
15,72,48,1.098666
16,86,56,1.312296
17,-73,b7,-1.113926
18,-53,cb,-0.808741
19,90,5a,1.373333
20,63,3f,0.961333
21,86,56,1.312296
22,-62,c2,-0.946074
23,-44,d4,-0.671407
24,88,58,1.342814
25,55,37,0.839259
26,85,55,1.297037
27,-55,c9,-0.839259
28,-39,d9,-0.595111
29,83,53,1.266518
30,48,30,0.732444
31,78,4e,1.190222
32,-56,c8,-0.854518
33,-35,dd,-0.534074
34,81,51,1.236
35,41,29,0.625629
36,80,50,1.22074
37,-45,d3,-0.686666
38,-28,e4,-0.427259
39,81,51,1.236
40,35,23,0.534074
41,80,50,1.22074
42,-38,da,-0.579852
43,-22,ea,-0.335704
44,77,4d,1.174963
45,30,1e,0.457778
46,74,4a,1.129185
47,-40,d8,-0.61037
48,-20,ec,-0.305185
49,77,4d,1.174963
50,25,19,0.381481
51,76,4c,1.159703
52,-31,e1,-0.473037
53,-14,f2,-0.21363
54,77,4d,1.174963
55,21,15,0.320444
56,76,4c,1.159703
57,-27,e5,-0.412
58,-11,f5,-0.167852
59,73,49,1.113926
60,17,11,0.259407
61,70,46,1.068148
62,-31,e1,-0.473037
63,-11,f5,-0.167852
64,72,48,1.098666
65,13,0d,0.19837
66,73,49,1.113926
67,-21,eb,-0.320444
68,-5,fb,-0.076296
69,72,48,1.098666
70,10,0a,0.152593
71,74,4a,1.129185
72,-17,ef,-0.259407
73,-2,fe,-0.030519
74,71,47,1.083407
75,7,07,0.106815
76,67,43,1.02237
77,-23,e9,-0.350963
78,-4,fc,-0.061037
79,68,44,1.037629
80,4,04,0.061037
81,72,48,1.098666
82,-14,f2,-0.21363
83,1,01,0.015259
84,69,45,1.052889
85,2,02,0.030519
86,72,48,1.098666
87,-11,f5,-0.167852
88,2,02,0.030519
89,67,43,1.02237
90,0,00,0
91,67,43,1.02237
92,-16,f0,-0.244148
93,1,01,0.015259
94,66,42,1.007111
95,-2,fe,-0.030519
96,70,46,1.068148
97,-9,f7,-0.137333
98,5,05,0.076296
99,66,42,1.007111
100,-3,fd,-0.045778
101,71,47,1.083407
102,-8,f8,-0.122074
103,1,01,0.015259
104,57,39,0.869778
105,-5,fb,-0.076296
106,66,42,1.007111
107,-10,f6,-0.152593
108,5,05,0.076296
109,64,40,0.976592
110,-7,f9,-0.106815
111,68,44,1.037629
112,-6,fa,-0.091556
113,8,08,0.122074
114,64,40,0.976592
115,-8,f8,-0.122074
116,68,44,1.037629
117,-8,f8,-0.122074
118,0,00,0
119,47,2f,0.717185
120,-9,f7,-0.137333
121,76,4c,1.159703
122,15,0f,0.228889
123,6,06,0.091556
124,59,3b,0.900296
125,-10,f6,-0.152593
126,72,48,1.098666
127,2,02,0.030519
128,9,09,0.137333
129,62,3e,0.946074
130,-11,f5,-0.167852
131,72,48,1.098666
132,2,02,0.030519
133,6,06,0.091556
134,53,35,0.808741
135,-11,f5,-0.167852
136,60,3c,0.915555
137,-9,f7,-0.137333
138,10,0a,0.152593
139,63,3f,0.961333
140,-12,f4,-0.183111
141,64,40,0.976592
142,-4,fc,-0.061037
143,12,0c,0.183111
144,63,3f,0.961333
145,-13,f3,-0.19837
146,74,4a,1.129185
147,12,0c,0.183111
148,-8,f8,-0.122074
149,22,16,0.335704
150,-14,f2,-0.21363
151,-1,ff,-0.015259
152,-8,f8,-0.122074
153,-13,f3,-0.19837
154,-99,9d,-1.510666
155,-108,94,-1.648
156,-108,94,-1.648
157,-16,f0,-0.244148
158,-22,ea,-0.335704
159,-104,98,-1.586962
160,-108,94,-1.648
161,-108,94,-1.648
162,-22,ea,-0.335704
163,-29,e3,-0.442518
164,-8,f8,-0.122074
165,-63,c1,-0.961333
166,-99,9d,-1.510666
167,-21,eb,-0.320444
168,-33,df,-0.503555
169,13,0d,0.19837
170,4,04,0.061037
171,-12,f4,-0.183111
172,-19,ed,-0.289926
173,-32,e0,-0.488296
174,58,3a,0.885037
175,2,02,0.030519
176,23,17,0.350963
177,-17,ef,-0.259407
178,-20,ec,-0.305185
179,60,3c,0.915555
180,0,00,0
181,-6,fa,-0.091556
182,-14,f2,-0.21363
183,-30,e2,-0.457778
184,-92,a4,-1.403851
185,-84,ac,-1.281777
186,-79,b1,-1.205481
187,-17,ef,-0.259407
188,-33,df,-0.503555
189,-67,bd,-1.02237
190,-47,d1,-0.717185
191,-12,f4,-0.183111
192,-20,ec,-0.305185
193,-32,e0,-0.488296
194,-45,d3,-0.686666
195,-22,ea,-0.335704
196,14,0e,0.21363
197,-21,eb,-0.320444
198,-1,ff,-0.015259
199,-12,f4,-0.183111
200,2,02,0.030519
201,32,20,0.488296
202,-21,eb,-0.320444
203,-5,fb,-0.076296
204,-15,f1,-0.228889
205,-7,f9,-0.106815
206,2,02,0.030519
207,-21,eb,-0.320444
208,-20,ec,-0.305185
209,-38,da,-0.579852
210,-27,e5,-0.412
211,-6,fa,-0.091556
212,-22,ea,-0.335704
213,-9,f7,-0.137333
214,68,44,1.037629
215,2,02,0.030519
216,81,51,1.236
217,36,24,0.549333
218,1,01,0.015259
219,51,33,0.778222
220,1,01,0.015259
221,79,4f,1.205481
222,108,6c,1.648
223,108,6c,1.648
224,67,43,1.02237
225,-22,ea,-0.335704
226,23,17,0.350963
227,104,68,1.586962
228,81,51,1.236
229,-33,df,-0.503555
230,-95,a1,-1.449629
231,-34,de,-0.518815
232,57,39,0.869778
233,52,34,0.793481
234,-38,da,-0.579852
235,-87,a9,-1.327555
236,-27,e5,-0.412
237,57,39,0.869778
238,56,38,0.854518
239,-25,e7,-0.381481
240,-73,b7,-1.113926
241,-20,ec,-0.305185
242,55,37,0.839259
243,50,32,0.762963
244,-24,e8,-0.366222
245,-66,be,-1.007111
246,-18,ee,-0.274667
247,50,32,0.762963
248,45,2d,0.686666
249,-22,ea,-0.335704
250,-60,c4,-0.915555
251,-16,f0,-0.244148
252,45,2d,0.686666
253,43,2b,0.656148
254,-19,ed,-0.289926
255,-54,ca,-0.824
256,-15,f1,-0.228889
257,40,28,0.61037
258,36,24,0.549333
259,-19,ed,-0.289926
260,-48,d0,-0.732444
261,-14,f2,-0.21363
262,37,25,0.564592
263,58,3a,0.885037
264,47,2f,0.717185
265,49,31,0.747703
266,86,56,1.312296
267,108,6c,1.648
268,108,6c,1.648
269,68,44,1.037629
270,36,24,0.549333
271,44,2c,0.671407
272,58,3a,0.885037
273,43,2b,0.656148
274,4,04,0.061037
275,-18,ee,-0.274667
276,-4,fc,-0.061037
277,14,0e,0.21363
278,8,08,0.122074
279,-20,ec,-0.305185
280,-38,da,-0.579852
281,-22,ea,-0.335704
282,-1,ff,-0.015259
283,-2,fe,-0.030519
284,-27,e5,-0.412
285,-41,d7,-0.625629
286,-27,e5,-0.412
287,-10,f6,-0.152593
288,-15,f1,-0.228889
289,-35,dd,-0.534074
290,-44,d4,-0.671407
291,-28,e4,-0.427259
292,-10,f6,-0.152593
293,-10,f6,-0.152593
294,-26,e6,-0.396741
295,-32,e0,-0.488296
296,-18,ee,-0.274667
297,-1,ff,-0.015259
298,0,00,0
299,-14,f2,-0.21363
300,-20,ec,-0.305185
301,-6,fa,-0.091556
302,7,07,0.106815
303,8,08,0.122074
304,-2,fe,-0.030519
305,-5,fb,-0.076296
306,3,03,0.045778
307,9,09,0.137333
308,4,04,0.061037
309,-10,f6,-0.152593
310,-17,ef,-0.259407
311,-7,f9,-0.106815
312,1,01,0.015259
313,0,00,0
314,-10,f6,-0.152593
315,-15,f1,-0.228889
316,-8,f8,-0.122074
317,-3,fd,-0.045778
318,-7,f9,-0.106815
319,-19,ed,-0.289926
320,-24,e8,-0.366222
321,-17,ef,-0.259407
322,-10,f6,-0.152593
323,-12,f4,-0.183111
324,-22,ea,-0.335704
325,-26,e6,-0.396741
326,-17,ef,-0.259407
327,-9,f7,-0.137333
328,-9,f7,-0.137333
329,-20,ec,-0.305185
330,-25,e7,-0.381481
331,-20,ec,-0.305185
332,-13,f3,-0.19837
333,-14,f2,-0.21363
334,-23,e9,-0.350963
335,-27,e5,-0.412
336,-19,ed,-0.289926
337,-13,f3,-0.19837
338,-14,f2,-0.21363
339,-23,e9,-0.350963
340,-27,e5,-0.412
341,-21,eb,-0.320444
342,-14,f2,-0.21363
343,-11,f5,-0.167852
344,-12,f4,-0.183111
345,-10,f6,-0.152593
346,7,07,0.106815
347,29,1d,0.442518
348,44,2c,0.671407
349,46,2e,0.701926
350,47,2f,0.717185
351,53,35,0.808741
352,56,38,0.854518
353,54,36,0.824
354,48,30,0.732444
355,58,3a,0.885037
356,79,4f,1.205481
357,92,5c,1.403851
358,96,60,1.464888
359,83,53,1.266518
360,68,44,1.037629
361,58,3a,0.885037
362,51,33,0.778222
363,50,32,0.762963
364,62,3e,0.946074
365,86,56,1.312296
366,100,64,1.525925
367,108,6c,1.648
368,108,6c,1.648
369,103,67,1.571703
370,78,4e,1.190222
371,14,0e,0.21363
372,-50,ce,-0.762963
373,-92,a4,-1.403851
374,-108,94,-1.648
375,-108,94,-1.648
376,-108,94,-1.648
377,-94,a2,-1.43437
378,-93,a3,-1.419111
379,-108,94,-1.648
380,-108,94,-1.648
381,-108,94,-1.648
382,-96,a0,-1.464888
383,-91,a5,-1.388592
384,-97,9f,-1.480148
385,-93,a3,-1.419111
386,-64,c0,-0.976592
387,-29,e3,-0.442518
388,-16,f0,-0.244148
389,-23,e9,-0.350963
390,-30,e2,-0.457778
391,-14,f2,-0.21363
392,6,06,0.091556
393,9,09,0.137333
394,-5,fb,-0.076296
395,-14,f2,-0.21363
396,-5,fb,-0.076296
397,9,09,0.137333
398,10,0a,0.152593
399,-4,fc,-0.061037
400,-14,f2,-0.21363
401,-6,fa,-0.091556
402,7,07,0.106815
403,7,07,0.106815
404,-14,f2,-0.21363
405,-20,ec,-0.305185
406,-10,f6,-0.152593
407,6,06,0.091556
408,9,09,0.137333
409,-2,fe,-0.030519
410,-71,b9,-1.083407
411,-95,a1,-1.449629
412,-75,b5,-1.144444
413,-48,d0,-0.732444
414,-26,e6,-0.396741
415,-1,ff,-0.015259
416,26,1a,0.396741
417,46,2e,0.701926
418,50,32,0.762963
419,37,25,0.564592
420,29,1d,0.442518
421,30,1e,0.457778
422,32,20,0.488296
423,24,18,0.366222
424,10,0a,0.152593
425,3,03,0.045778
426,7,07,0.106815
427,12,0c,0.183111
428,8,08,0.122074
429,-1,ff,-0.015259
430,-5,fb,-0.076296
431,0,00,0
432,6,06,0.091556
433,4,04,0.061037
434,-4,fc,-0.061037
435,-7,f9,-0.106815
436,-2,fe,-0.030519
437,3,03,0.045778
438,1,01,0.015259
439,-5,fb,-0.076296
440,-7,f9,-0.106815
441,-2,fe,-0.030519
442,3,03,0.045778
443,1,01,0.015259
444,-4,fc,-0.061037
445,-7,f9,-0.106815
446,-2,fe,-0.030519
447,2,02,0.030519
448,2,02,0.030519
449,-4,fc,-0.061037
450,-6,fa,-0.091556
451,-3,fd,-0.045778
452,0,00,0
453,10,0a,0.152593
454,26,1a,0.396741
455,34,22,0.518815
456,23,17,0.350963
457,1,01,0.015259
458,-8,f8,-0.122074
459,-5,fb,-0.076296
460,1,01,0.015259
461,-1,ff,-0.015259
462,-11,f5,-0.167852
463,-9,f7,-0.137333
464,-2,fe,-0.030519
465,3,03,0.045778
466,-1,ff,-0.015259
467,-12,f4,-0.183111
468,-13,f3,-0.19837
469,-5,fb,-0.076296
470,2,02,0.030519
471,0,00,0
472,-9,f7,-0.137333
473,-9,f7,-0.137333
474,-2,fe,-0.030519
475,2,02,0.030519
476,-1,ff,-0.015259
477,-11,f5,-0.167852
478,-14,f2,-0.21363
479,-12,f4,-0.183111
480,-11,f5,-0.167852
481,-15,f1,-0.228889
482,-23,e9,-0.350963
483,-20,ec,-0.305185
484,-10,f6,-0.152593
485,-1,ff,-0.015259
486,0,00,0
487,-4,fc,-0.061037
488,-3,fd,-0.045778
489,1,01,0.015259
490,3,03,0.045778
491,0,00,0
492,-6,fa,-0.091556
493,-4,fc,-0.061037
494,0,00,0
495,2,02,0.030519
496,0,00,0
497,-5,fb,-0.076296
498,-6,fa,-0.091556
499,-2,fe,-0.030519
500,0,00,0
501,-2,fe,-0.030519
502,-8,f8,-0.122074
503,-8,f8,-0.122074
504,-5,fb,-0.076296
505,0,00,0
506,0,00,0
507,-2,fe,-0.030519
508,3,03,0.045778
509,9,09,0.137333
510,15,0f,0.228889
511,17,11,0.259407
512,12,0c,0.183111
513,12,0c,0.183111
514,13,0d,0.19837
515,12,0c,0.183111
516,7,07,0.106815
517,0,00,0
518,0,00,0
519,4,04,0.061037
520,5,05,0.076296
521,3,03,0.045778
522,-2,fe,-0.030519
523,-1,ff,-0.015259
524,2,02,0.030519
525,5,05,0.076296
526,5,05,0.076296
527,0,00,0
528,0,00,0
529,0,00,0
530,0,00,0
531,-1,ff,-0.015259
532,-6,fa,-0.091556
533,-7,f9,-0.106815
534,-6,fa,-0.091556
535,-5,fb,-0.076296
536,-7,f9,-0.106815
537,-11,f5,-0.167852
538,-10,f6,-0.152593
539,-9,f7,-0.137333
540,-9,f7,-0.137333
541,-9,f7,-0.137333
542,-12,f4,-0.183111
543,-10,f6,-0.152593
544,-6,fa,-0.091556
545,-2,fe,-0.030519
546,-1,ff,-0.015259
547,-3,fd,-0.045778
548,-2,fe,-0.030519
549,0,00,0
550,1,01,0.015259
551,1,01,0.015259
552,-1,ff,-0.015259
553,1,01,0.015259
554,2,02,0.030519
555,3,03,0.045778
556,2,02,0.030519
557,0,00,0
558,1,01,0.015259
559,1,01,0.015259
560,1,01,0.015259
561,0,00,0
562,-2,fe,-0.030519
563,-3,fd,-0.045778
564,-3,fd,-0.045778
565,-4,fc,-0.061037
566,-5,fb,-0.076296
567,-8,f8,-0.122074
568,-5,fb,-0.076296
569,-3,fd,-0.045778
570,-3,fd,-0.045778
571,-3,fd,-0.045778
572,-5,fb,-0.076296
573,-4,fc,-0.061037
574,-3,fd,-0.045778
575,-2,fe,-0.030519
576,-2,fe,-0.030519
577,-4,fc,-0.061037
578,-3,fd,-0.045778
579,-1,ff,-0.015259
580,-1,ff,-0.015259
581,-2,fe,-0.030519
582,-4,fc,-0.061037
583,-2,fe,-0.030519
584,-3,fd,-0.045778
585,-3,fd,-0.045778
586,-3,fd,-0.045778
587,-4,fc,-0.061037
588,-2,fe,-0.030519
589,0,00,0
590,2,02,0.030519
591,6,06,0.091556
592,8,08,0.122074
593,11,0b,0.167852
594,11,0b,0.167852
595,7,07,0.106815
596,2,02,0.030519
597,-4,fc,-0.061037
598,-9,f7,-0.137333
599,-16,f0,-0.244148
600,-22,ea,-0.335704
601,-21,eb,-0.320444
602,-18,ee,-0.274667
603,-10,f6,-0.152593
604,-4,fc,-0.061037
605,1,01,0.015259
606,5,05,0.076296
607,6,06,0.091556
608,7,07,0.106815
609,7,07,0.106815
610,6,06,0.091556
611,6,06,0.091556
612,3,03,0.045778
613,5,05,0.076296
614,2,02,0.030519
615,1,01,0.015259
616,1,01,0.015259
617,-1,ff,-0.015259
618,0,00,0
619,-1,ff,-0.015259
620,-1,ff,-0.015259
621,-1,ff,-0.015259
622,-2,fe,-0.030519
623,0,00,0
624,0,00,0
625,0,00,0
626,0,00,0
627,-2,fe,-0.030519
628,0,00,0
629,1,01,0.015259
630,1,01,0.015259
631,2,02,0.030519
632,1,01,0.015259
633,2,02,0.030519
634,2,02,0.030519
635,1,01,0.015259
636,1,01,0.015259
637,0,00,0
638,0,00,0
639,-1,ff,-0.015259
640,-2,fe,-0.030519
641,-3,fd,-0.045778
642,-5,fb,-0.076296
643,-3,fd,-0.045778
644,-5,fb,-0.076296
645,-5,fb,-0.076296
646,-5,fb,-0.076296
647,-6,fa,-0.091556
648,-4,fc,-0.061037
649,-4,fc,-0.061037
650,-4,fc,-0.061037
651,-3,fd,-0.045778
652,-4,fc,-0.061037
653,-3,fd,-0.045778
654,-3,fd,-0.045778
655,-3,fd,-0.045778
656,-2,fe,-0.030519
657,-3,fd,-0.045778
658,-3,fd,-0.045778
659,-4,fc,-0.061037
660,-4,fc,-0.061037
661,-3,fd,-0.045778
662,-3,fd,-0.045778
663,-2,fe,-0.030519
664,-2,fe,-0.030519
665,-2,fe,-0.030519
666,-2,fe,-0.030519
667,-3,fd,-0.045778
668,-2,fe,-0.030519
669,-2,fe,-0.030519
670,-1,ff,-0.015259
671,-1,ff,-0.015259
672,-2,fe,-0.030519
673,0,00,0
674,0,00,0
675,-2,fe,-0.030519
676,-1,ff,-0.015259
677,-1,ff,-0.015259
678,0,00,0
679,0,00,0
680,0,00,0
681,0,00,0
682,-1,ff,-0.015259
683,0,00,0
684,0,00,0
685,-1,ff,-0.015259
686,-1,ff,-0.015259
687,-3,fd,-0.045778
688,-1,ff,-0.015259
689,-1,ff,-0.015259
690,-1,ff,-0.015259
691,0,00,0
692,-1,ff,-0.015259
693,-1,ff,-0.015259
694,-1,ff,-0.015259
695,-1,ff,-0.015259
696,0,00,0
697,-2,fe,-0.030519
698,-1,ff,-0.015259
699,-1,ff,-0.015259
700,0,00,0
701,0,00,0
702,0,00,0
703,1,01,0.015259
704,0,00,0
705,0,00,0
706,2,02,0.030519
707,1,01,0.015259
708,1,01,0.015259
709,0,00,0
710,0,00,0
711,-2,fe,-0.030519
712,-3,fd,-0.045778
713,-2,fe,-0.030519
714,-2,fe,-0.030519
715,-2,fe,-0.030519
716,-1,ff,-0.015259
717,-2,fe,-0.030519
718,-1,ff,-0.015259
719,-2,fe,-0.030519
720,-2,fe,-0.030519
721,-1,ff,-0.015259
722,-2,fe,-0.030519
723,0,00,0
724,0,00,0
725,0,00,0
726,0,00,0
727,-2,fe,-0.030519
728,-2,fe,-0.030519
729,-2,fe,-0.030519
730,-1,ff,-0.015259
731,0,00,0
732,0,00,0
733,1,01,0.015259
734,0,00,0
735,-2,fe,-0.030519
736,-3,fd,-0.045778
737,-4,fc,-0.061037
738,-2,fe,-0.030519
739,-3,fd,-0.045778
740,-4,fc,-0.061037
741,-4,fc,-0.061037
742,-4,fc,-0.061037
743,-3,fd,-0.045778
744,-2,fe,-0.030519
745,-2,fe,-0.030519
746,-2,fe,-0.030519
747,-3,fd,-0.045778
748,-1,ff,-0.015259
749,-3,fd,-0.045778
750,-2,fe,-0.030519
751,-1,ff,-0.015259
752,-2,fe,-0.030519
753,0,00,0
754,0,00,0
755,0,00,0
756,2,02,0.030519
757,4,04,0.061037
758,7,07,0.106815
759,8,08,0.122074
760,7,07,0.106815
761,4,04,0.061037
762,-1,ff,-0.015259
763,-5,fb,-0.076296
764,-13,f3,-0.19837
765,-20,ec,-0.305185
766,-22,ea,-0.335704
767,-22,ea,-0.335704
768,-16,f0,-0.244148
769,-10,f6,-0.152593
770,-3,fd,-0.045778
771,2,02,0.030519
772,4,04,0.061037
773,6,06,0.091556
774,7,07,0.106815
775,7,07,0.106815
776,7,07,0.106815
777,4,04,0.061037
778,4,04,0.061037
779,2,02,0.030519
780,1,01,0.015259
781,0,00,0
782,-1,ff,-0.015259
783,-1,ff,-0.015259
784,-1,ff,-0.015259
785,-1,ff,-0.015259
786,0,00,0
787,-2,fe,-0.030519
788,-1,ff,-0.015259
789,-1,ff,-0.015259
790,-1,ff,-0.015259
791,0,00,0
792,-1,ff,-0.015259
793,0,00,0
794,-1,ff,-0.015259
795,-1,ff,-0.015259
796,0,00,0
797,0,00,0
798,1,01,0.015259
799,0,00,0
800,0,00,0
801,0,00,0
802,-1,ff,-0.015259
803,0,00,0
804,0,00,0
805,0,00,0
806,-1,ff,-0.015259
807,-3,fd,-0.045778
808,-1,ff,-0.015259
809,-3,fd,-0.045778
810,-4,fc,-0.061037
811,-4,fc,-0.061037
812,-5,fb,-0.076296
813,-4,fc,-0.061037
814,-3,fd,-0.045778
815,-3,fd,-0.045778
816,-2,fe,-0.030519
817,-4,fc,-0.061037
818,-4,fc,-0.061037
819,-4,fc,-0.061037
820,-4,fc,-0.061037
821,-3,fd,-0.045778
822,-5,fb,-0.076296
823,-3,fd,-0.045778
824,-4,fc,-0.061037
825,-4,fc,-0.061037
826,-3,fd,-0.045778
827,-5,fb,-0.076296
828,-4,fc,-0.061037
829,-4,fc,-0.061037
830,-3,fd,-0.045778
831,-2,fe,-0.030519
832,-3,fd,-0.045778
833,-2,fe,-0.030519
834,-2,fe,-0.030519
835,-1,ff,-0.015259
836,0,00,0
837,-1,ff,-0.015259
838,0,00,0
839,0,00,0
840,1,01,0.015259
841,2,02,0.030519
842,1,01,0.015259
843,2,02,0.030519
844,2,02,0.030519
845,2,02,0.030519
846,2,02,0.030519
847,0,00,0
848,0,00,0
849,0,00,0
850,0,00,0
851,0,00,0
852,-1,ff,-0.015259
853,1,01,0.015259
854,0,00,0
855,0,00,0
856,0,00,0
857,-1,ff,-0.015259
858,0,00,0
859,0,00,0
860,0,00,0
861,0,00,0
862,-2,fe,-0.030519
863,-1,ff,-0.015259
864,-1,ff,-0.015259
865,-2,fe,-0.030519
866,-1,ff,-0.015259
867,-2,fe,-0.030519
868,0,00,0
869,-1,ff,-0.015259
870,-2,fe,-0.030519
871,-2,fe,-0.030519
872,-3,fd,-0.045778
873,-2,fe,-0.030519
874,-2,fe,-0.030519
875,-1,ff,-0.015259
876,0,00,0
877,-2,fe,-0.030519
878,-2,fe,-0.030519
879,-2,fe,-0.030519
880,-2,fe,-0.030519
881,-1,ff,-0.015259
882,-2,fe,-0.030519
883,0,00,0
884,-1,ff,-0.015259
885,-1,ff,-0.015259
886,-1,ff,-0.015259
887,-2,fe,-0.030519
888,-2,fe,-0.030519
889,-2,fe,-0.030519
890,-1,ff,-0.015259
891,-1,ff,-0.015259
892,-1,ff,-0.015259
893,0,00,0
894,0,00,0
895,-1,ff,-0.015259
896,-1,ff,-0.015259
897,-3,fd,-0.045778
898,-1,ff,-0.015259
899,-3,fd,-0.045778
900,-3,fd,-0.045778
901,-3,fd,-0.045778
902,-4,fc,-0.061037
903,-3,fd,-0.045778
904,-3,fd,-0.045778
905,-2,fe,-0.030519
906,-1,ff,-0.015259
907,-2,fe,-0.030519
908,-1,ff,-0.015259
909,0,00,0
910,0,00,0
911,-1,ff,-0.015259
912,-2,fe,-0.030519
913,0,00,0
914,0,00,0
915,0,00,0
916,1,01,0.015259
917,1,01,0.015259
918,4,04,0.061037
919,4,04,0.061037
920,3,03,0.045778
921,1,01,0.015259
922,-2,fe,-0.030519
923,-5,fb,-0.076296
924,-10,f6,-0.152593
925,-16,f0,-0.244148
926,-19,ed,-0.289926
927,-20,ec,-0.305185
928,-15,f1,-0.228889
929,-11,f5,-0.167852
930,-4,fc,-0.061037
931,1,01,0.015259
932,4,04,0.061037
933,7,07,0.106815
934,8,08,0.122074
935,8,08,0.122074
936,8,08,0.122074
937,5,05,0.076296
938,5,05,0.076296
939,4,04,0.061037
940,4,04,0.061037
941,3,03,0.045778
942,0,00,0
943,0,00,0
944,-2,fe,-0.030519
945,-3,fd,-0.045778
946,-2,fe,-0.030519
947,-3,fd,-0.045778
948,-2,fe,-0.030519
949,-3,fd,-0.045778
950,-2,fe,-0.030519
951,-2,fe,-0.030519
952,-3,fd,-0.045778
953,-2,fe,-0.030519
954,-1,ff,-0.015259
955,-1,ff,-0.015259
956,0,00,0
957,0,00,0
958,1,01,0.015259
959,0,00,0
960,0,00,0
961,0,00,0
962,-2,fe,-0.030519
963,-2,fe,-0.030519
964,-2,fe,-0.030519
965,-2,fe,-0.030519
966,-1,ff,-0.015259
967,-2,fe,-0.030519
968,-1,ff,-0.015259
969,-2,fe,-0.030519
970,-2,fe,-0.030519
971,-2,fe,-0.030519
972,-4,fc,-0.061037
973,-2,fe,-0.030519
974,-4,fc,-0.061037
975,-4,fc,-0.061037
976,-3,fd,-0.045778
977,-5,fb,-0.076296
978,-5,fb,-0.076296
979,-4,fc,-0.061037
980,-4,fc,-0.061037
981,-3,fd,-0.045778
982,-5,fb,-0.076296
983,-4,fc,-0.061037
984,-4,fc,-0.061037
985,-3,fd,-0.045778
986,-3,fd,-0.045778
987,-4,fc,-0.061037
988,-2,fe,-0.030519
989,-3,fd,-0.045778
990,-3,fd,-0.045778
991,-2,fe,-0.030519
992,-4,fc,-0.061037
993,-3,fd,-0.045778
994,-2,fe,-0.030519
995,-2,fe,-0.030519
996,-1,ff,-0.015259
997,-2,fe,-0.030519
998,0,00,0
999,0,00,0
1000,1,01,0.015259
1001,1,01,0.015259
1002,0,00,0
1003,1,01,0.015259
1004,0,00,0
1005,1,01,0.015259
1006,1,01,0.015259
1007,0,00,0
1008,0,00,0
1009,0,00,0
1010,0,00,0
1011,0,00,0
1012,-2,fe,-0.030519
1013,-2,fe,-0.030519
1014,-2,fe,-0.030519
1015,-1,ff,-0.015259
1016,0,00,0
1017,-2,fe,-0.030519
1018,0,00,0
1019,-2,fe,-0.030519
1020,-1,ff,-0.015259
1021,0,00,0
1022,-1,ff,-0.015259
1023,0,00,0
1024,0,00,0
1025,0,00,0
1026,0,00,0
1027,-1,ff,-0.015259
1028,0,00,0
1029,-1,ff,-0.015259
1030,-1,ff,-0.015259
1031,0,00,0
1032,-2,fe,-0.030519
1033,0,00,0
1034,-2,fe,-0.030519
1035,-2,fe,-0.030519
1036,-2,fe,-0.030519
1037,-3,fd,-0.045778
1038,-3,fd,-0.045778
1039,-2,fe,-0.030519
1040,-2,fe,-0.030519
1041,-2,fe,-0.030519
1042,-3,fd,-0.045778
1043,-1,ff,-0.015259
1044,0,00,0
1045,0,00,0
1046,0,00,0
1047,-1,ff,-0.015259
1048,1,01,0.015259
1049,0,00,0
1050,0,00,0
1051,0,00,0
1052,-2,fe,-0.030519
1053,-1,ff,-0.015259
1054,-1,ff,-0.015259
1055,-1,ff,-0.015259
1056,-1,ff,-0.015259
1057,-3,fd,-0.045778
1058,-2,fe,-0.030519
1059,-2,fe,-0.030519
1060,-2,fe,-0.030519
1061,-2,fe,-0.030519
1062,-4,fc,-0.061037
1063,-1,ff,-0.015259
1064,-2,fe,-0.030519
1065,-3,fd,-0.045778
1066,-2,fe,-0.030519
1067,-3,fd,-0.045778
1068,-1,ff,-0.015259
1069,-1,ff,-0.015259
1070,-1,ff,-0.015259
1071,0,00,0
1072,-2,fe,-0.030519
1073,-1,ff,-0.015259
1074,-2,fe,-0.030519
1075,-1,ff,-0.015259
1076,0,00,0
1077,-2,fe,-0.030519
1078,0,00,0
1079,0,00,0
1080,3,03,0.045778
1081,5,05,0.076296
1082,5,05,0.076296
1083,5,05,0.076296
1084,3,03,0.045778
1085,0,00,0
1086,-5,fb,-0.076296
1087,-12,f4,-0.183111
1088,-18,ee,-0.274667
1089,-21,eb,-0.320444
1090,-19,ed,-0.289926
1091,-14,f2,-0.21363
1092,-9,f7,-0.137333
1093,0,00,0
1094,3,03,0.045778
1095,6,06,0.091556
1096,7,07,0.106815
1097,6,06,0.091556
1098,7,07,0.106815
1099,6,06,0.091556
1100,5,05,0.076296
1101,4,04,0.061037
1102,1,01,0.015259
1103,1,01,0.015259
1104,0,00,0
1105,0,00,0
1106,0,00,0
1107,-3,fd,-0.045778
1108,0,00,0
1109,-2,fe,-0.030519
1110,-2,fe,-0.030519
1111,-2,fe,-0.030519
1112,-3,fd,-0.045778
1113,-2,fe,-0.030519
1114,-2,fe,-0.030519
1115,-1,ff,-0.015259
1116,0,00,0
1117,-2,fe,-0.030519
1118,0,00,0
1119,0,00,0
1120,0,00,0
1121,0,00,0
