index,int8,hex,mV
8922,-1,ff,-0.015259
8923,0,00,0
8924,1,01,0.015259
8925,-1,ff,-0.015259
8926,0,00,0
8927,-1,ff,-0.015259
8928,0,00,0
8929,0,00,0
8930,0,00,0
8931,0,00,0
8932,-2,fe,-0.030519
8933,-1,ff,-0.015259
8934,-2,fe,-0.030519
8935,-1,ff,-0.015259
8936,0,00,0
8937,-2,fe,-0.030519
8938,0,00,0
8939,-2,fe,-0.030519
8940,-2,fe,-0.030519
8941,0,00,0
8942,-2,fe,-0.030519
8943,-1,ff,-0.015259
8944,-2,fe,-0.030519
8945,-1,ff,-0.015259
8946,0,00,0
8947,-1,ff,-0.015259
8948,-1,ff,-0.015259
8949,-1,ff,-0.015259
8950,0,00,0
8951,0,00,0
8952,-1,ff,-0.015259
8953,1,01,0.015259
8954,-1,ff,-0.015259
8955,-1,ff,-0.015259
8956,0,00,0
8957,-2,fe,-0.030519
8958,-1,ff,-0.015259
8959,-2,fe,-0.030519
8960,-1,ff,-0.015259
8961,0,00,0
8962,-2,fe,-0.030519
8963,-2,fe,-0.030519
8964,-3,fd,-0.045778
8965,-2,fe,-0.030519
8966,-1,ff,-0.015259
8967,-3,fd,-0.045778
8968,0,00,0
8969,-3,fd,-0.045778
8970,-2,fe,-0.030519
8971,0,00,0
8972,-1,ff,-0.015259
8973,0,00,0
8974,0,00,0
8975,0,00,0
8976,1,01,0.015259
8977,0,00,0
8978,-1,ff,-0.015259
8979,-1,ff,-0.015259
8980,-2,fe,-0.030519
8981,-1,ff,-0.015259
8982,-3,fd,-0.045778
8983,0,00,0
8984,-4,fc,-0.061037
8985,-3,fd,-0.045778
8986,-2,fe,-0.030519
8987,-4,fc,-0.061037
8988,-3,fd,-0.045778
8989,-3,fd,-0.045778
8990,-3,fd,-0.045778
8991,-1,ff,-0.015259
8992,-2,fe,-0.030519
8993,-1,ff,-0.015259
8994,0,00,0
8995,1,01,0.015259
8996,3,03,0.045778
8997,2,02,0.030519
8998,8,08,0.122074
8999,7,07,0.106815
9000,6,06,0.091556
9001,6,06,0.091556
9002,0,00,0
9003,-3,fd,-0.045778
9004,-9,f7,-0.137333
9005,-15,f1,-0.228889
9006,-19,ed,-0.289926
9007,-21,eb,-0.320444
9008,-19,ed,-0.289926
9009,-14,f2,-0.21363
9010,-7,f9,-0.106815
9011,0,00,0
9012,3,03,0.045778
9013,9,09,0.137333
9014,11,0b,0.167852
9015,7,07,0.106815
9016,8,08,0.122074
9017,5,05,0.076296
9018,4,04,0.061037
9019,1,01,0.015259
9020,1,01,0.015259
9021,1,01,0.015259
9022,0,00,0
9023,-1,ff,-0.015259
9024,-2,fe,-0.030519
9025,-2,fe,-0.030519
9026,-1,ff,-0.015259
9027,-3,fd,-0.045778
9028,0,00,0
9029,-2,fe,-0.030519
9030,-2,fe,-0.030519
9031,-1,ff,-0.015259
9032,-2,fe,-0.030519
9033,-3,fd,-0.045778
9034,-3,fd,-0.045778
9035,-2,fe,-0.030519
9036,0,00,0
9037,-1,ff,-0.015259
9038,0,00,0
9039,0,00,0
9040,0,00,0
9041,0,00,0
9042,0,00,0
9043,2,02,0.030519
9044,-1,ff,-0.015259
9045,-1,ff,-0.015259
9046,0,00,0
9047,-1,ff,-0.015259
9048,-1,ff,-0.015259
9049,-2,fe,-0.030519
9050,-2,fe,-0.030519
9051,-1,ff,-0.015259
9052,-3,fd,-0.045778
9053,-3,fd,-0.045778
9054,-3,fd,-0.045778
9055,-3,fd,-0.045778
9056,-1,ff,-0.015259
9057,-3,fd,-0.045778
9058,-1,ff,-0.015259
9059,-3,fd,-0.045778
9060,-4,fc,-0.061037
9061,-3,fd,-0.045778
9062,-4,fc,-0.061037
9063,-4,fc,-0.061037
9064,-4,fc,-0.061037
9065,-4,fc,-0.061037
9066,-2,fe,-0.030519
9067,-4,fc,-0.061037
9068,-4,fc,-0.061037
9069,-4,fc,-0.061037
9070,-3,fd,-0.045778
9071,-1,ff,-0.015259
9072,-2,fe,-0.030519
9073,0,00,0
9074,1,01,0.015259
9075,-2,fe,-0.030519
9076,0,00,0
9077,-1,ff,-0.015259
9078,-1,ff,-0.015259
9079,-1,ff,-0.015259
9080,0,00,0
9081,1,01,0.015259
9082,0,00,0
9083,0,00,0
9084,0,00,0
9085,0,00,0
9086,1,01,0.015259
9087,0,00,0
9088,1,01,0.015259
9089,-2,fe,-0.030519
9090,-1,ff,-0.015259
9091,0,00,0
9092,-1,ff,-0.015259
9093,-1,ff,-0.015259
9094,-1,ff,-0.015259
9095,0,00,0
9096,0,00,0
9097,-1,ff,-0.015259
9098,-1,ff,-0.015259
9099,-1,ff,-0.015259
9100,-1,ff,-0.015259
9101,0,00,0
9102,-2,fe,-0.030519
9103,0,00,0
9104,0,00,0
9105,-2,fe,-0.030519
9106,0,00,0
9107,-1,ff,-0.015259
9108,-2,fe,-0.030519
9109,-3,fd,-0.045778
9110,-2,fe,-0.030519
9111,0,00,0
9112,-1,ff,-0.015259
9113,-1,ff,-0.015259
9114,-1,ff,-0.015259
9115,-1,ff,-0.015259
9116,0,00,0
9117,-1,ff,-0.015259
9118,1,01,0.015259
9119,0,00,0
